Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,POETRY ALL AROUND,YANDEX,YANDEXMUSIC,Tech-led Brand Experience,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/6af3f606a5244b1db50ed5407d86181e
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,PROXIMUS THE BELGIAN HEARTBEAT,PROXIMUS,FAMOUSGREY,Tech-led Brand Experience,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/0db9fd15ffc2445b8c29335e6f6a6403
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,RUNTIME,OCHSNER SPORT,THJNK,Use of Mobile & Devices,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/331bdf8746f740fdadbb25422e4dba77
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,MESSAGE IN A BOTTLE,DIAEGO,DARE,Use of Mobile & Devices,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/2185e7276859428e894ab5091f5822f8
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,HENNESSCREEN,HENNESSY,BETC,Use of Mobile & Devices,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/3a8c29f565d1492ebbdb5fb3661ff16d
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,MESSI MESSAGES,LAYS,180 AMSTERDAM,Use of Mobile & Devices,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/50860bdd783f4953bb683a6a592e5b0f
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,LET IT ALL ART,BNP PARIBAS,PUBLICIS,Use of Mobile & Devices,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/ea790222361e4e6a8aedee4efc1f873f
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,APPLAYDU,KINDER,GAMELOFT,Use of Mobile & Devices,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/d4acb70874df437f9f57ff1e14d9bbf9
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,PROXIMUS THE BELGIAN HEARTBEAT,PROXIMUS,FAMOUSGREY,Use of Mobile & Devices,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/0db9fd15ffc2445b8c29335e6f6a6403
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,OFFICIAL SPONSOR OF CANCELLED EVENTS,ROM,McCANN,Use of Mobile & Devices,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/9f4686268f7841d39edee6e552ac5be4
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,DORITOS NACHO HOUSE RESTAURANT,PEPSICO,PEPSICO,Use of Mobile & Devices,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/15a4ddc12f52476888fdbd458e3166a0
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,CLEAN YOUR STREET VIEW,MOOIMAKERS,MORTIERBRIGADE,Use of Social & Digital Platforms,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/d0f2720c356f4f53a05a6313a26b3eeb
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,THE 5700 EURO PHONE GERMANY�S MOST UNFAIR OFFER,O?,SERVICEPLAN GERMANY,Use of Social & Digital Platforms,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/5ecb08077c934ab89ff6ebf4f249180a
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,FLY WITH A BOOK,MASTERCARD,McCANN,Use of Social & Digital Platforms,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/a53d06b735af4259bd10a34130450929
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,GREEN LOOK,ROMANI DESIGN,WAVEMAKER HUNGARY,Use of Social & Digital Platforms,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/8ebddbdd9b5a439dba84e77fb43200c2
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,LIFE SAVING STORIES,RED CROSS,180 AMSTERDAM,Use of Social & Digital Platforms,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/43a90314a49e44cd8c103d1a0ef1fdae
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,MESSI MESSAGES,LAYS,180 AMSTERDAM,Use of Social & Digital Platforms,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/50860bdd783f4953bb683a6a592e5b0f
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,ALONSO ALPINE CODE,ALPINE,HAVAS,Use of Social & Digital Platforms,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/b1e5b1fd1e90406ea08cadc4897e5639
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,BAD MOVIE INDEX,DRAKEN FILM,FORSMAN & BODENFORS,Use of Social & Digital Platforms,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/e13de711390b42f68d93dcb7bdc918fe
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,THE QUEEN AND THE CROWN,NETFLIX,MEDIAMONKS,Use of Social & Digital Platforms,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/7a795b061437417cab30b80d77cbe28d
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,THE LAND OF ABSURDITY,AMNESTY INTERNATIONAL,ANORAK,Use of Social & Digital Platforms,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/042d4a7932ed4c7ab2ece11a3011a4e6
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,THE BIG DANISH PRE-ROLL,DANISH CROWN,HJALTELIN STAHL PART OF ACCENTURE INTERACTIVE,Use of Social & Digital Platforms,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/9d51333fcd2b42029e94e9f09c0e7e68
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,FRONTROW,BEDNET,LDV UNITED,Digital Installations,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/64f5db70dde84d9890363999f300f297
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,THE ORIGINALS FEST,VOLKSWAGEN LCV,PHD,Digital Installations,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/f46c6894f7dc4f28ba9e0ff445d6f641
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,DREAMS WITHIN,XBOX,EDELMAN UK,Digital Installations,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/ea61f91549fb4c51b09ef495e1eebb59
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,POETRY ALL AROUND,YANDEX,YANDEXMUSIC,New Realities & Voice Activation,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/6af3f606a5244b1db50ed5407d86181e
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,CARREFOUR X FORTNITE THE HEALTHY MAP,CARREFOUR,PUBLICIS CONSEIL,Branded Games,Submitted,https://images.ctfassets.net/8ha5xom4da7e/7sDFJEwnUZaGwijBHq2OXr/aa1a7fa09f91cf7a197ee7d0c16cac41/LTW_placeholder_3.svg
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,APPLAYDU,KINDER,GAMELOFT,Branded Games,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/d4acb70874df437f9f57ff1e14d9bbf9
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,DREAMS WITHIN,XBOX,EDELMAN UK,Launch & Re-launch,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/ea61f91549fb4c51b09ef495e1eebb59
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,THE PLAYLIST SONG,TWINTOES,MORTIERBRIGADE,Launch & Re-launch,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/e86f669ac3564dd0afa4a3dcad751e9b
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,THE SAFE TRAINING JERSEY,GMF,HAVAS SPORTS & ENTERTAINMENT,Sponsorship & Brand Partnership,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/bdcebf2906f34fc7adda0a9c6f9d9f55
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,MADE BY DENMARK,HUMMEL,ENVISION,Sponsorship & Brand Partnership,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/5affe1d7bef8425d8095681da042b3e1
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,TOP OF THE BILL,BNP PARIBAS,HUNGRY AND FOOLISH,Sponsorship & Brand Partnership,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/3243bf38105f4a328848de252481b933
