Festival,Year,Track,Title,Brand,Agency,Category,Award,Product,Permalink
The Loerie Awards,2025,Design,The Dark Circle Sale,Home Centre,Leo Middle East,DATA INFORMATION VISUALISATION,Finalist,Furniture,/awards/the_loerie_awards/2025/campaigns/the-dark-circle-sale-home-centre-leo-middle-east-2025/
The Loerie Awards,2025,Design,Ruby Blooms,Nana,Saatchi Saatchi Middle East,PUBLICATION DESIGN,Gold,Sanitary Pads,/awards/the_loerie_awards/2025/campaigns/ruby-blooms-nana-saatchi-saatchi-middle-east-2025/
The Loerie Awards,2025,Design,--Hui Gaeb,SAB AB INBEV,Promise,PUBLICATION DESIGN,Bronze,Corporate,/awards/the_loerie_awards/2025/campaigns/hui-gaeb-sab-ab-inbev-promise-2025-2/
The Loerie Awards,2025,Design,Rewrite the Gap,ItsHerWay,Saatchi Saatchi Middle East,PUBLICATION DESIGN,Finalist,Published Books,/awards/the_loerie_awards/2025/campaigns/rewrite-the-gap-itsherway-saatchi-saatchi-middle-east-2025/
The Loerie Awards,2025,Design,MTV Base Monster Charts,Paramount Africa,Fairchild Creative,MOTION GRAPHIC DESIGN,Finalist,MTV Base,/awards/the_loerie_awards/2025/campaigns/mtv-base-monster-charts-paramount-africa-fairchild-creative-2025/
The Loerie Awards,2025,Design,The Coolest Ihram,Saudia Airlines,Landor,MOTION GRAPHIC DESIGN,Finalist,Male and Female Ihrams Islamic Pilgrimage Uniform,/awards/the_loerie_awards/2025/campaigns/the-coolest-ihram-saudia-airlines-landor-2025-3/
The Loerie Awards,2025,Design,Stitched With Cheer,Tusker Lager,Dentsu Creative Kenya,DESIGN FOR DIGITAL,Bronze,Team Kenya Olympics,/awards/the_loerie_awards/2025/campaigns/stitched-with-cheer-tusker-lager-dentsu-creative-kenya-2025/
The Loerie Awards,2025,Design,NEURAL MURALS,DEPARTMENT OF CULTURE AND TOURISM ABU DHABI,SERVICEPLAN MIDDLE EAST FZ-LLC,DESIGN FOR DIGITAL,Bronze,SAADIYAT CULTURE DISTRICT,/awards/the_loerie_awards/2025/campaigns/neural-murals-department-of-culture-and-tourism-abu-dhabi-serviceplan-middle-east-fz-llc-2025-2/
The Loerie Awards,2025,Design,Rewrite the Gap,ItsHerWay,Saatchi Saatchi Middle East,DESIGN FOR DIGITAL,Finalist,Published Books,/awards/the_loerie_awards/2025/campaigns/rewrite-the-gap-itsherway-saatchi-saatchi-middle-east-2025-2/
The Loerie Awards,2025,Design,The Dark Circle Sale,Home Centre,Leo Middle East,DESIGN FOR DIGITAL,Finalist,Furniture,/awards/the_loerie_awards/2025/campaigns/the-dark-circle-sale-home-centre-leo-middle-east-2025-2/
The Loerie Awards,2025,Design,LeHotel,Dream Hotels Resorts,One Over One,DESIGN FOR DIGITAL,Finalist,Dream Hotels Resorts,/awards/the_loerie_awards/2025/campaigns/lehotel-dream-hotels-resorts-one-over-one-2025/
The Loerie Awards,2025,Design,The UpUp Group Website,The UpUp Group,Studio Malvah PTY LTD,DESIGN FOR DIGITAL,Finalist,UpUp Group,/awards/the_loerie_awards/2025/campaigns/the-upup-group-website-the-upup-group-studio-malvah-pty-ltd-2025/
The Loerie Awards,2025,Design,South African Startup Awards,Startup Club ZA,MakeReign,DESIGN FOR DIGITAL,Finalist,Awards Programme,/awards/the_loerie_awards/2025/campaigns/south-african-startup-awards-startup-club-za-makereign-2025-2/
The Loerie Awards,2025,Design,AddPay,AddPay,MakeReign,DESIGN FOR DIGITAL,Finalist,Payment Solution Provider,/awards/the_loerie_awards/2025/campaigns/addpay-addpay-makereign-2025/
The Loerie Awards,2025,Design,LeHotel,Dream Hotels Resorts,One Over One,DIGITAL EXPERIENCES,Finalist,Dream Hotels Resorts,/awards/the_loerie_awards/2025/campaigns/lehotel-dream-hotels-resorts-one-over-one-2025-2/
The Loerie Awards,2025,Design,Audi TikTok Test Drive,Audi South Africa,Ogilvy,DIGITAL EXPERIENCES,Finalist,Audi RS 3,/awards/the_loerie_awards/2025/campaigns/audi-tiktok-test-drive-audi-south-africa-ogilvy-2025/
The Loerie Awards,2025,Design,Social Screen,Heineken,LePub Johannesburg,INTERIOR DESIGN TEMPORARY STRUCTURES,Finalist,Heineken beer,/awards/the_loerie_awards/2025/campaigns/social-screen-heineken-lepub-johannesburg-2025/
The Loerie Awards,2025,Design,1862 Experience Store,Standard Bank,Design Bridge and Partners,INTERIOR DESIGN TEMPORARY STRUCTURES,Finalist,1862 Experience Store,/awards/the_loerie_awards/2025/campaigns/1862-experience-store-standard-bank-design-bridge-and-partners-2025/
The Loerie Awards,2025,Design,Marble Cape Town,Marble Cape Town,Grid Worldwide,INTERIOR DESIGN TEMPORARY STRUCTURES,Finalist,Marble Cape Town,/awards/the_loerie_awards/2025/campaigns/marble-cape-town-marble-cape-town-grid-worldwide-2025-3/
The Loerie Awards,2025,Design,The Luxurious Marble Circus,The Marble Group,Grid Worldwide,INTERIOR DESIGN TEMPORARY STRUCTURES,Finalist,The Luxurious Marble Circus,/awards/the_loerie_awards/2025/campaigns/the-luxurious-marble-circus-the-marble-group-grid-worldwide-2025-2/
The Loerie Awards,2025,Design,SAB Sharp,SAB ABInBev,We Are Bizarre Pty Ltd,INTERIOR DESIGN TEMPORARY STRUCTURES,Finalist,SAB Sharp,/awards/the_loerie_awards/2025/campaigns/sab-sharp-sab-abinbev-we-are-bizarre-pty-ltd-2025/
The Loerie Awards,2025,Design,Stitched With Cheer,Tusker Lager,Dentsu Creative Kenya,FABRIC DESIGN,Grand Prix,Team Kenya Olympics,/awards/the_loerie_awards/2025/campaigns/stitched-with-cheer-tusker-lager-dentsu-creative-kenya-2025-2/
The Loerie Awards,2025,Design,Cheetos Pants,Cheetos,Impact BBDO,FABRIC DESIGN,Silver,Cheetos,/awards/the_loerie_awards/2025/campaigns/cheetos-pants-cheetos-impact-bbdo-2025/
The Loerie Awards,2025,Design,The Coolest Ihram,Saudia Airlines,Landor,FABRIC DESIGN,Bronze,Male and Female Ihrams Islamic Pilgrimage Uniform,/awards/the_loerie_awards/2025/campaigns/the-coolest-ihram-saudia-airlines-landor-2025-4/
