Festival,Year,Track,Title,Brand,Agency,Category,Award,Product
The Loerie Awards,2025,Digital,The McDonalds Exchange Rate,McDonalds,Leo Middle East,MOBILE MEDIA,Finalist,McDonalds Products
The Loerie Awards,2025,Digital,Black Friday Fastest Fingers First,KFC South Africa,Ogilvy,MOBILE MEDIA,Finalist,KFC Mobile App
The Loerie Awards,2025,Digital,Tap for Help,City of Cape Town,Ogilvy,MOBILE MEDIA,Finalist,CCT App
The Loerie Awards,2025,Digital,Audi TikTok Test Drive,Audi South Africa,Ogilvy,MOBILE MEDIA,Finalist,Audi RS 3
The Loerie Awards,2025,Digital,Sloom NapBot,Sloom,TBWA- Hunt Lascaris,MOBILE MEDIA,Finalist,WhatsApp Bot
The Loerie Awards,2025,Digital,Protective Hairstyles,AfriSam AfroBoutique,Promise,MOBILE MEDIA,Finalist,Construction Materials - Hair products
The Loerie Awards,2025,Digital,Cardvert,e,Saatchi Saatchi Middle East,MOBILE MEDIA,Finalist,Digital Wallet
The Loerie Awards,2025,Digital,The 4th Judge,The Ring,BigTime Creative Shop,DATA DRIVEN CAMPAIGN,Silver,Fight Night
The Loerie Awards,2025,Digital,Supercharging VWOCOs Growth Engine,Volkswagen South Africa,Ogilvy,DATA DRIVEN CAMPAIGN,Finalist,Commercial Vehicles
The Loerie Awards,2025,Digital,Tuned for Global Growth,Sennheiser,Ogilvy,DATA DRIVEN CAMPAIGN,Finalist,Sennheiser
The Loerie Awards,2025,Digital,Daylist,Spotify,Machine,DATA DRIVEN CAMPAIGN,Finalist,Spotify Africa
The Loerie Awards,2025,Digital,GoalSave,TymeBank,The Odd Number,DATA DRIVEN CAMPAIGN,Finalist,Savings
The Loerie Awards,2025,Digital,Track Your Racks,Standard Bank,MC Saatchi Abel a division of The Up Up Group Pty Ltd,DATA DRIVEN CAMPAIGN,Finalist,Standard Bank
The Loerie Awards,2025,Digital,Sun Courts,Nivea,Saatchi Saatchi Middle East,DATA DRIVEN CAMPAIGN,Finalist,Nivea Sun
The Loerie Awards,2025,Digital,BetQueen,BetKing,X3M Ideas,DATA DRIVEN CAMPAIGN,Finalist,BetKing
The Loerie Awards,2025,Digital,Nedbank VAS Always on,Nedbank,The MediaShop 1997-013488-07,DATA DRIVEN CAMPAIGN,Finalist,Value Added Services
The Loerie Awards,2025,Digital,In-Snore Coupons,SleepZone,Impact BBDO,CO-CREATION USER GENERATED CONTENT,Bronze,SleepZone
The Loerie Awards,2025,Digital,LEAK FOR REAL,PUMA,Lion Communication FZ - LLC,CO-CREATION USER GENERATED CONTENT,Finalist,AL HILAL FC KIT 2024-25
