Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Spikes Asia,2022,LOCAL BRAND,TWENTY TWO YEARS 6OAL,THAIBEV MARKETING CO LTD,GREYNJ UNITED,Social Behaviour,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/7075f4e3c9de44b690ed5d80166af2b0/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,MAKE LAMB NOT WALLS,MEAT & LIVESTOCK AUSTRALIA,THE MONKEYS PART OF ACCENTURE SONG,Cultural Insight,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/695d0d170ff44b4a8ce148f0a1de3fab
Spikes Asia,2022,LOCAL BRAND,TWENTY TWO YEARS 6OAL,THAIBEV MARKETING CO LTD,GREYNJ UNITED,Cultural Insight,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/7075f4e3c9de44b690ed5d80166af2b0/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,THRIVE BY FIVE,THE MINDEROO FOUNDATION,M&C SAATCHI,Corporate Purpose & Social Responsibility,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/b6a9aee285474a4da314623bdfb29cb9/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,WARM HANDS,CHUGAI PHARMACEUTICAL CO LTD,INSIGHT-I INC,Corporate Purpose & Social Responsibility,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/11df877266b14c3b82aef7d63bdf578d/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,TOUGH PEOPLE VS SHOCK COLLAR,SPCA,FORSMAN & BODENFORS,Corporate Purpose & Social Responsibility,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/81e20661099d4ae0ae2305aaeb04878a/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,LONE RIDER,GULF WESTERN OIL,THE MONKEYS PART OF ACCENTURE SONG,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/20d78d292ab948ff852534029303972f/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,FEEL LIKE A NEW HOME,SC ASSET,WOLF,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/2234e323d1374c5da0901d244ba78ee1/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,DIDA - APPLE WATCH,APPLE,TBWA\MEDIA ARTS LAB,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/1dfbcf8933ca4819bf8e8bec622e94b0/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,FIND YOUR OWN WAY,OTSUKA,DENTSU INC,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/17c652864f924b68a63aae96b1fa0a51/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,THE CRAFTSMAN,TOSHIBA,STIG&XI,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/e0f6c2dc8e10461da8f199b020d9e987/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,NAPPERS,XIAOMI,STIG&XI,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/fd20219072c748b1a8bfdb2f50f555c1/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,CASTROL STOPCARABUSE,CASTROL,M&C SAATCHI,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/1affebf7a614457fb9462177a2efccc0/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,V ENERGY - CAN YOU FEEL IT,FRUCOR,CLEMENGER BBDO,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/adca746794bb4a9ebc5e611c99159e1f/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,START HEALTHY THE FUN WAY,ZESPRI INTERNATIONAL JAPAN KK,DENTSU INC,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/c42bbae56c794b948c26192f72666ef5/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,KATHMANDU,KATHMANDU,SPECIAL,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/033b478538664370b266e6281fcd8fe3/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,CATFISH,BARISTA BROS,BMF,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/60ab970e168c4b23b9576739a1968b84/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,PONDS MEN DULL FACE,PONDS MEN,OGILVY,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/8ddc794ab2084cf596658bb285459bd8/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,BREAKING POINT,TOYOTA,SAATCHI & SAATCHI,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/bcacb3c723744f79b2e62d8bfbdfd50d/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,PAINTING WITH LIGHT,JAGUAR,CHEMISTRY INTERACTION,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/67e635191fde43a087989dbd672a38d2/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,HARD SELL,BOMY VEGETABLE JUICE,ADK TAIWAN,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/5464481ccbef4b4e9e7e8b121ab43733/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,INCONVENIENCE,TCCC,OGILVY,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/27a8225951284f18b850464161b99822/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,INVISIBILITY,TCCC,OGILVY,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/1e289e63548340ef8ad0d2553b21942a/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,QUEUING UP,TCCC,OGILVY,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/9c8d499fe5fa46729ea5035389851d45/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,COW - IMPOSSIBLE BURGER,GRILLD,THE MONKEYS PART OF ACCENTURE SONG,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/d8e5b8c0bc2441098d48ac2629071cd6/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,MOT WAITING FOR YOU,MOT,M&C SAATCHI,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/64f44e435268425bada4331570d0ba97/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,HAPPY SET GRADUATION,MCDONALDS JAPAN,TBWA\HAKUHODO INC,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/b8c282184bfe41ccbf6b0feeecc4f83d/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,THE REASON IM HERE,MCDONALDS JAPAN,TBWA\HAKUHODO INC,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/056cec341eee41eaa7de8d250271fcf0/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,PLAY ON,KENO,HOWATSON COMPANY,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/c62a02fa32ae451796568aab7c95aaf9/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,PRESSUREMAKESBETTER SALES PRESSURE,RALCO,BBDO INDIA,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/eaa98bda742d47deb843965f25a6d84e/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,PRESSUREMAKESBETTER PRESSURE OF GETTING MARRIED,RALCO,BBDO INDIA,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/726e478b2ad3470ca4fb26cdd382512c/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,ADULT BE COVERED WITH PRIDE,TOKYO CITY KEIBA,ADK MARKETING SOLUTIONS INC,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/77e2400a37af4a938d5934df38460056/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,HEAVEN OR HELL,TENCENT GAMES,FARFAR FILMS,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/ecea254b9c044b0eb3144a2816cefe5a/storyboard_000008.jpg?resize=600,600
