Festival,Year,Track,Category,Title,Agency,Network,Holding,Country,Company,Brand,Product,Producer,Award,Board image,Permalink
FIAP,2025,Innovacion,Estudiantes,Styled To Stay,Brother,Estudiantes,Estudiantes,Uruguay,Ikea,Ikea,Styled To Stay,N-A,Gold,,/awards/fiap/2025/campaigns/styled-to-stay-ikea-brother-2025/
FIAP,2025,Formatos,Cortos,Lentes Del Alma,BETC Havas,Havas Creative,Havas,Brasil,Tim Telecom,Tim Telecom,Institucional,Santeria,Silver,,/awards/fiap/2025/campaigns/lentes-del-alma-tim-telecom-betc-havas-2025/
FIAP,2025,Anuncios,Television - Cine - Digital - Imagen Corporativa,Ignora Responsablemente,VML,VML,WPP,Argentina,Telefonica,Movistar,Movistar,Landia,Silver,,/awards/fiap/2025/campaigns/ignora-responsablemente-movistar-vml-2025/
FIAP,2025,Formatos,Estudiantes,Complete With Imagination,Bendita Carpeta,Estudiantes,Estudiantes,Colombia,Lego,Lego,Lego,N-A,Silver,,/awards/fiap/2025/campaigns/complete-with-imagination-lego-bendita-carpeta-2025/
FIAP,2025,Produccion,Tecnicas de Produccion de Plataformas Digitales-Redes Sociales,The Test List,Tombrasniña,Tombrasniña,Tombrasniña,Argentina,Grupo Omint,Grupo Omint,Medicina Prepaga,Warner Music,Silver,,/awards/fiap/2025/campaigns/the-test-list-grupo-omint-tombrasnina-2025/
FIAP,2025,Formatos,Mejor Uso de Influencer en Cualquier Plataforma,Lost Names,Conill Advertising,Saatchi & Saatchi,Publicis Groupe,Usa,Toyota Motor North America USA Inc,Toyota,Toyota,Jaw Productions,Silver,,/awards/fiap/2025/campaigns/lost-names-toyota-conill-advertising-2025/
FIAP,2025,Formatos,Mejor Uso de Influencer en Cualquier Plataforma,Undeleted,VML,VML,WPP,Argentina,Unilever,Dove,Desodorante,Mama Hungara,Silver,,/awards/fiap/2025/campaigns/undeleted-dove-vml-2025/
FIAP,2025,Formatos,Evento en Vivo o Hibrido,Undeleted,VML,VML,WPP,Argentina,Unilever,Dove,Desodorante,Mama Hungara,Silver,,/awards/fiap/2025/campaigns/undeleted-dove-vml-2025-2/
FIAP,2025,Anuncios,Creatividad Efectiva - Aporte Cultural y-o Multicultural,Undeleted,VML,VML,WPP,Argentina,Unilever,Dove,Desodorante,Mama Hungara,Silver,,/awards/fiap/2025/campaigns/undeleted-dove-vml-2025-3/
FIAP,2025,Anuncios,Transformacion Social - Empresas Privadas,Undeleted,VML,VML,WPP,Argentina,Unilever,Dove,Desodorante,Mama Hungara,Silver,,/awards/fiap/2025/campaigns/undeleted-dove-vml-2025-4/
