Festival,Year,Track,Track slug,Title,Brand,Agency,Category,Award,Board image,Entry URL,Permalink
Spikes Asia,2026,Direct,direct,FUTURES,MUSICIANS MAKING A DIFFERENCE,SUPERMASSIVE,Social Behaviour,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/dfbaf6e6fb9844cda04c97aa1bd208de?quality=85&format=webp,https://www.lovethework.com/work/entries/futures-769630,/awards/spikes_asia/2026/campaigns/futures-musicians-making-a-difference-supermassive-2026-5/
Spikes Asia,2026,Direct,direct,BOX TO BEDS,AMAZON,OGILVY,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/844f30e20f794839a1c9a1d331dfa5e1?quality=85&format=webp,https://www.lovethework.com/work/entries/box-to-beds-770480,/awards/spikes_asia/2026/campaigns/box-to-beds-amazon-ogilvy-2026-2/
Spikes Asia,2026,Direct,direct,FOR HANA,SOFY,VML OGILVY JAPAN,Use of Social Platforms,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/a495a85993984c9e99e4e2b8918e5045?quality=85&format=webp,https://www.lovethework.com/work/entries/for-hana-771155,/awards/spikes_asia/2026/campaigns/for-hana-sofy-vml-ogilvy-japan-2026-2/
Spikes Asia,2026,Direct,direct,THE SPONSORED TRUTH,SAMSUNG,LEO,Co-Creation & User-Generated Content,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/4109705e25d64c209befc8b73c6713dd?quality=85&format=webp,https://www.lovethework.com/work/entries/the-sponsored-truth-773094,/awards/spikes_asia/2026/campaigns/the-sponsored-truth-samsung-leo-2026-2/
Spikes Asia,2026,Direct,direct,SAKURA SCAN,KIRIN BEER,KIRIN BREWERY COMPANY,Use of Mobile,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/1de049ba98d24b558834c6067c5802b0?quality=85&format=webp,https://www.lovethework.com/work/entries/sakura-scan-770912,/awards/spikes_asia/2026/campaigns/sakura-scan-kirin-beer-kirin-brewery-company-2026-4/
Spikes Asia,2026,Direct,direct,SAUCE REDEMPTION,KFC THAILAND,BRILLIANT & MILLION,"Travel, Leisure, Retail, Restaurants & Fast Food Chains",Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/8700b32febc94b06ba4826646b005ca8?quality=85&format=webp,https://www.lovethework.com/work/entries/sauce-redemption-772614,/awards/spikes_asia/2026/campaigns/sauce-redemption-kfc-thailand-brilliant-and-million-2026-2/
Spikes Asia,2026,Direct,direct,RIDE THE BULDAK HIGH,BULDAK,SAMYANGFOODS,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/44e74ff76c29409cb1dc098824287782/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/ride-the-buldak-high-770442,/awards/spikes_asia/2026/campaigns/ride-the-buldak-high-buldak-samyangfoods-2026-2/
Spikes Asia,2026,Direct,direct,SAKURA SCAN,KIRIN BEER,KIRIN BREWERY COMPANY,Cultural Engagement,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/1de049ba98d24b558834c6067c5802b0?quality=85&format=webp,https://www.lovethework.com/work/entries/sakura-scan-770874,/awards/spikes_asia/2026/campaigns/sakura-scan-kirin-beer-kirin-brewery-company-2026-5/
Spikes Asia,2026,Direct,direct,SAKURA SCAN,KIRIN BEER,KIRIN BREWERY COMPANY,Data-Driven Direct Strategy,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/1de049ba98d24b558834c6067c5802b0?quality=85&format=webp,https://www.lovethework.com/work/entries/sakura-scan-770900,/awards/spikes_asia/2026/campaigns/sakura-scan-kirin-beer-kirin-brewery-company-2026-6/
Spikes Asia,2026,Film,film,TARZAN,SEEK,"DROGA5 ANZ, PART OF ACCENTURE SONG",Consumer Services/Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/4274bb8bbf1b46bdb88f28faa039554c/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/tarzan-770637,/awards/spikes_asia/2026/campaigns/tarzan-seek-droga5-anz-part-of-accenture-song-2026/
Spikes Asia,2026,Film,film,IT MUST BE STING,STING,LEO,Microfilm,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/b71c1cc62ce04f05b4404c98f17c71d5/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/it-must-be-sting-769478,/awards/spikes_asia/2026/campaigns/it-must-be-sting-sting-leo-2026/
Spikes Asia,2026,Film,film,SAFETYNOVELA,PHILIPPINE AIRLINES,BBDO GUERRERO,Viral Film,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/5fc11d2a57f24dfcaa3fb8a9082dc456/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/safetynovela-770736,/awards/spikes_asia/2026/campaigns/safetynovela-philippine-airlines-bbdo-guerrero-2026/
Spikes Asia,2026,Film,film,THE AD THAT CAN ONLY BE SEEN ON SBS,SPECIAL BROADCASTING SERVIVE,"DROGA5 ANZ, PART OF ACCENTURE SONG",Challenger Brand,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/a7158f83a369403499456be01a442881/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/the-ad-that-can-only-be-seen-on-sbs-772406,/awards/spikes_asia/2026/campaigns/the-ad-that-can-only-be-seen-on-sbs-special-broadcasting-servive-droga5-anz-part-of-accenture-song-2026/
Spikes Asia,2026,Film,film,REBORN,CUTE PRESS,WOLF BKK,Social Behaviour,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/5defed658cbd4d35944c5f4cef37c0e7/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/reborn-770949,/awards/spikes_asia/2026/campaigns/reborn-cute-press-wolf-bkk-2026/
Spikes Asia,2026,Film,film,EVERYTHING HAS A POINT,KRUNGSRI CONSUMER,WOLF BKK,Consumer Services/Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/a205f0bf6b84484fb3ec5a12948f2da7/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/everything-has-a-point-772402,/awards/spikes_asia/2026/campaigns/everything-has-a-point-krungsri-consumer-wolf-bkk-2026/
Spikes Asia,2026,Film,film,AFTER CLASS REFRESH,COCA-COLA,VML OGILVY JAPAN,Use of Humour,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/c128ce4748ce4c26803679bb829b6b5d/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/after-class-refresh-772823,/awards/spikes_asia/2026/campaigns/after-class-refresh-coca-cola-vml-ogilvy-japan-2026/
Spikes Asia,2026,Film,film,HAVE YOU SEEN OAT?,SNACK JACK,HANAMI FOOD,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/a9d53e31ed61411d8652c2387505c034/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/have-you-seen-oat-769477,/awards/spikes_asia/2026/campaigns/have-you-seen-oat-snack-jack-hanami-food-2026/
Spikes Asia,2026,Film,film,DARE TO STEP,GAMBOL,YDM THAILAND,Local Brand,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/5b0eedfff8a64fa28c225052d937891f/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/dare-to-step-771089,/awards/spikes_asia/2026/campaigns/dare-to-step-gambol-ydm-thailand-2026/
Spikes Asia,2026,Film,film,UNFADING LOVE,THAI LIFE INSURANCE CO.,OGILVY,Consumer Services/Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/5cb3a0e56f8743c0af463476fa17ec12/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/unfading-love-769530,/awards/spikes_asia/2026/campaigns/unfading-love-thai-life-insurance-co-ogilvy-2026/
Spikes Asia,2026,Film,film,STEADFAST - DIRTY MONEY,STEADFAST STATIONARY,DUCKTAPE STUDIOS,Consumer Services/Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/8f87e5b247004f23bdd215b640436c90/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/steadfast-dirty-money-771420,/awards/spikes_asia/2026/campaigns/steadfast-dirty-money-steadfast-stationary-ducktape-studios-2026/
Spikes Asia,2026,Film,film,THE M SSING PIECE,KFC THAILAND,PUBLICIS THAILAND,"Travel, Leisure, Retail, Restaurants & Fast Food Chains",Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/3dfaff76bed543ed84e644a8a3cb4345/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/the-m-ssing-piece-769509,/awards/spikes_asia/2026/campaigns/the-m-ssing-piece-kfc-thailand-publicis-thailand-2026/
Spikes Asia,2026,Film,film,IT'S DETTOL TIME,DETTOL,SOUR BANGKOK,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/526635f0805240a5967b0de0ae9ace56/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/its-dettol-time-772404,/awards/spikes_asia/2026/campaigns/its-dettol-time-dettol-sour-bangkok-2026/
