Festival,Year,Track,Category,Agency,Network,Holding,Title,Country,Company,Brand,Product,Producer,Award,Permalink
FIAP,2024,Innovacion,Innovacion en Musica,Fire Creative,Independientes,Independientes,Baby Rusi,Puerto Rico,Sonar Music Division de artistas emergentes de Rimas Music,Hades 66,AK Rusi,Fire Creative,SHORTLIST,/awards/fiap/2024/campaigns/baby-rusi-hades-66-fire-creative-2024-2/
FIAP,2024,Innovacion,Innovacion en Musica,BETC Havas,Havas Creative,HAVAS,Feel Everything,Brasil,Reckitt,Olla,Olla Senses condom,Stink Films,SHORTLIST,/awards/fiap/2024/campaigns/feel-everything-olla-betc-havas-2024/
FIAP,2024,Innovacion,Innovacion en Outdoor-Via publica-Ambient,Independiente Panama,Independientes,Independientes,Banner Humano,Panama,Panafoto,Panafoto,Black Week,Tiempo Real - Anonymous,SHORTLIST,/awards/fiap/2024/campaigns/banner-humano-panafoto-independiente-panama-2024-2/
FIAP,2024,Innovacion,Innovacion en Outdoor-Via publica-Ambient,Amen McCann,McCann Worldgroup,IPG,Operacion Graffiti,Uruguay,Oceano FM,Oceano FM,Institucional,Eadweard,SHORTLIST,/awards/fiap/2024/campaigns/operacion-graffiti-oceano-fm-amen-mccann-2024-3/
FIAP,2024,Innovacion,Innovacion en Outdoor-Via publica-Ambient,Santuario Napkin,Napkin Creative,Napkin Creative,Presiente,Ecuador,Corporacion Favorita,Mall de los Andes,Mall de los Andes,Napkin,SHORTLIST,/awards/fiap/2024/campaigns/presiente-mall-de-los-andes-santuario-napkin-2024/
FIAP,2024,Innovacion,Innovacion en Outdoor-Via publica-Ambient,McCann San Jose,McCann Worldgroup,IPG,The billboard you shouldnt be able to read but you can,Costa Rica,Gollo,Gollo Motors,Gollo Motors,FulFierros,SHORTLIST,/awards/fiap/2024/campaigns/the-billboard-you-shouldnt-be-able-to-read-but-you-can-gollo-motors-mccann-san-jose-2024-3/
FIAP,2024,Innovacion,Innovacion en Outdoor-Via publica-Ambient,Bombai Ecuador,Independientes,Independientes,The great break in the sky,Ecuador,Nestle Ecuador,Nestle,Kit Kat,Karnada,SHORTLIST,/awards/fiap/2024/campaigns/the-great-break-in-the-sky-nestle-bombai-ecuador-2024/
FIAP,2024,Innovacion,Innovacion en plataformas digitales,McCann Erickson,McCann Worldgroup,IPG,Entrenadores de Inconformismo,Espana,CaixaBank,CaixaBank,Financiero,Landed Content,SHORTLIST,/awards/fiap/2024/campaigns/entrenadores-de-inconformismo-caixabank-mccann-erickson-2024-2/
FIAP,2024,Innovacion,Innovacion en PR,Lopito Ileana Howie,Independientes,Independientes,Cuidemos las Tetas,Puerto Rico,Sociedad Americana Contra El Cancer,Sociedad Americana Contra El Cancer,Cancer de Seno,Norstrom,SHORTLIST,/awards/fiap/2024/campaigns/cuidemos-las-tetas-sociedad-americana-contra-el-cancer-lopito-ileana-howie-2024-3/
FIAP,2024,Innovacion,Innovacion en PR,Joystick FIFCO,Independientes,Independientes,Jugadas Perdidas,Costa Rica,FIFCO,Imperial,Imperial Cero,Kaiju Creators,SHORTLIST,/awards/fiap/2024/campaigns/jugadas-perdidas-imperial-joystick-fifco-2024-9/
