Festival,Year,Track,Category,Agency,Network,Holding,Title,Country,Brand,Producer,Award
FIAP,2023,Anuncios,Mejor Uso de la Cultura Local,Alma,DDB Worldwide,OMNICOM,Ballots Against Bullets - Survivors,EE UU,Change the Ref,Not Normal Films,Plata
FIAP,2023,Anuncios,Mejor Uso de la Cultura Local,Fahrenheit DDB,DDB Worldwide,OMNICOM,Redesigning for E-nclusion,Peru,Supermercados Peruanos,Quechua Films,Plata
FIAP,2023,Anuncios,Radio - Recreacion - Placer - Tiempo Libre - Transporte - Viajes - Turismo,Havas GURISA,Havas Creative,HAVAS,Inolvidable FM,Uruguay,Loterias y Quinielas del Uruguay,Cien Fuegos,Plata
FIAP,2023,Anuncios,Radio - Recreacion - Placer - Tiempo Libre - Transporte - Viajes - Turismo,Havas GURISA,Havas Creative,HAVAS,Metropolis FM,Uruguay,Loterias y Quinielas del Uruguay,Cien Fuegos,Plata
FIAP,2023,Anuncios,Salud,Dentsu Creative Mexico,Dentsu Group Inc,DENTSU GROUP,V-Land,Mexico,Essity Mexico,Gato Studio,Plata
FIAP,2023,Anuncios,Television - Cine - Digital - Alimentos - Comidas - Bebidas Alcoholicas - No Alcoholicas,This is Libre,Independientes,INDEPENDIENTE,La Escalera,Espana,Hijos de Rivera SAU,Landia Films,Plata
FIAP,2023,Anuncios,Television - Cine - Digital - Automoviles,Conill,Publicis Worldwide,PUBLICIS GROUPE,Born to Lend a Hand,EE UU,Toyota Motor North America USA Inc,Morton Jankel Zander MJZ,Plata
FIAP,2023,Anuncios,Television - Cine - Digital - Bien Publico,VMLYR Puerto Rico,VMLYR,WPP,Luna The Stork,Puerto Rico,Departamento de la Familia - Gobierno de PR,Zombie Studio,Plata
FIAP,2023,Anuncios,Television - Cine - Digital - Electrodomesticos - Muebles - Electronica - Computacion - Audio - Video,iProspect - Dentsu,Dentsu Group Inc,DENTSU GROUP,NETFLIX EN ASMR,Espana,Vodafone Netflix,Cison Inversiones SL,Plata
FIAP,2023,Anuncios,Transformacion Social,Dentsu Creative Mexico,Dentsu Group Inc,DENTSU GROUP,V-Land,Mexico,Essity Mexico,Gato Studio,Plata
FIAP,2023,Anuncios,Via Publica - Campanas,Alma,DDB Worldwide,OMNICOM,Ballots Against Bullets - Survivors,EE UU,Change the Ref,Not Normal Films,Plata
FIAP,2023,Anuncios,Via Publica - Productos,BETC HAVAS,Havas Creative,HAVAS,Petra Milk,Brasil,Grupo Petropolis,Merci Studios,Plata
FIAP,2023,Anuncios,Via Publica - Servicios,Dentsu Creative Mexico,Dentsu Group Inc,DENTSU GROUP,The Infected Billboard,Mexico,HBO,GOMA,Plata
