Award,Entrant,Entrant City,Country,Track,Category,Brand,Title,Corporate Name of Client,Agency,Agency City
Bronze,DAVID,Madrid,SPAIN,Billboard,B2B Campaign,JCDecaux - Still Open,Rafa de 3 Imprenta Abdel del Locutorio Adrian de la Panaderia Angel de Calzados Luque Babar de Peluqueria de Caballeros Blas y Carmen del Bar Jamonitos Javier de Pinturas Vibor,JCDecaux Spain,DAVID,Madrid
Bronze,David,Madrid,SPAIN,Billboard,Craft Art Direction Campaign,Coca-Cola,Prado Awning Mimi Awning El Campo Awning,The Coca-Cola Company,DAVID,Madrid
Bronze,MRM Spain,Madrid,SPAIN,Branded Content,Documentary Short Film,Opella-Enterogermina,The Anti MurphyA s Law Toast,Opella-Enterogermina,MRM Spain,Madrid
Bronze,DAVID,Madrid,SPAIN,Creativity In Media,B2B,JCDecaux,Still Open,JCDecaux Spain,DAVID,Madrid
Bronze,DAVID,Madrid,SPAIN,Creativity In Media,Use of Outdoor,Coca-Cola,Shades of Red,The Coca Cola Company,DAVID,Madrid
Bronze,SAMY Alliance,Madrid,SPAIN,Online Film,Public Service-Charity-NGO,PETA,Being Vegan is Good Sht,PETA,SAMY Alliance,Madrid Spain
Bronze,Ogilvy,Colombo,SRI LANKA,Design,Creativity on a Budget,Promate,Second Life Notebooks,PrintXcel Pvt Ltd,Ogilvy,Colombo
Bronze,Leo Sweden,Stockholm,SWEDEN,Ambient Activation,Creativity in Commerce,Elgiganten,GamePay,Elkjoep - Curries,Leo Sweden,Stockholm
Bronze,Prime Weber Shandwick,Stockholm,SWEDEN,Creative Strategy,Breaking Sector Convention,Komatsu Demining Cambodia,Stories of Gentle Giants,Komatsu,,
Bronze,A1kestam Holst NoA,Stockholm,SWEDEN,Print,Retail,IKEA,Blackout Ad,IKEA,A1kestam Holst NoA,Stockholm
Bronze,Ogilvy Taipei,Taipei,TAIWAN,Production Post-Production,Direction Campaign,104 Job Bank - 104 Dream Jobs Unlimited,Window Grille Maker-Chiu Hung-yi Prison Administrator-Lin Wen-wei Font Designer-Tseng Kuo-rong,104 Job Bank,Ogilvy Taipei,Taipei
Bronze,JONGLUCKDEE,Bangkok,THAILAND,Creativity In Media,Use of Events and Stunts,Netflix,Young-Hee Freezes Bangkok,Netflix Thailand,JONGLUCKDEE,Bangkok
Bronze,Leo Thailand,Bangkok,THAILAND,Online Film,Humor,Krungsri First Choice,Patient,Ayudhya Capital Services Co Ltd,Leo Thailand,Bangkok
Bronze,Ogilvy Bangkok,Bangkok,THAILAND,TV Cinema,Banking Finance,Thai Life Insurance,Unfading Love,Thai Life Insurance Public Company Limited,Ogilvy Bangkok,Bangkok
Bronze,LePub,Amsterdam,THE NETHERLANDS,Design,Sustainable Design SDG,Philips,Fixables,Philips,LePub Amsterdam-LePub,Milan
Bronze,LePub,Amsterdam,THE NETHERLANDS,Design,Prototype,Heineken,The Flipper,Heineken,LePub Amsterdam-LePub,Milan
Bronze,Leo Dubai,Dubai,UNITED ARAB EMIRATES,Billboard,Craft Art Direction Campaign,NBA India - The Great Indian Dunk,Jordan 23 Kobe 08 Lebron 06 Shaq 34,NBA,Leo Dubai,Dubai
Bronze,Leo Dubai,Dubai,UNITED ARAB EMIRATES,Billboard,Sports Campaign,NBA India - The Great Indian Dunk,Jordan 23 Kobe 08 Lebron 06 Shaq 34,NBA,Leo Dubai,Dubai
Bronze,Leo Dubai,Dubai,UNITED ARAB EMIRATES,Design,Craft Art Direction Campaign,NBA India - The Great Indian Dunk,Jordan 23 Kobe 08 Lebron 06 Shaq 34,NBA,Leo Dubai,Dubai
Bronze,Leo Dubai,Dubai,UNITED ARAB EMIRATES,Design,Craft Photography Campaign,NBA India - The Great Indian Dunk,Jordan 23 Kobe 08 Lebron 06 Shaq 34,NBA,Leo Dubai,Dubai
Bronze,Global Media Entertainment,London,UNITED KINGDOM,Audio Radio,Craft Performance-Casting,Admiral,Empty Words,Admiral Insurance,Global Creative,London
Bronze,McCann,London,UNITED KINGDOM,Evolution,Product Innovation,Reef Protection Factor,Reef Protection Factor,Stream2Sea,McCann,London
Bronze,750mph,London,UNITED KINGDOM,Music Sound,Sound Design,Netflix,Youre Not Ready,Netflix,Wieden Kennedy,Portland
Bronze,750mph,London,UNITED KINGDOM,Music Sound,Sound Mixing,Netflix,Youre Not Ready,Netflix,Wieden Kennedy,Portland
Bronze,750mph,London,UNITED KINGDOM,Music Sound,Sound Mixing,Amazon Books,Bring a Book to Life,Amazon,Droga5 part of Accenture,London
Bronze,AMVBBDO,London,UNITED KINGDOM,Online Film,Beauty Well-being,Essity-Bodyform,Never Just a Period,Essity Bodyform,AMVBBDO,London
Bronze,VCCP,London,UNITED KINGDOM,Package Design,Foods,Cadbury Dairy Milk,Made to Share,Mondelz International,VCCP,London
Bronze,Grey London,London,UNITED KINGDOM,Print,Beverages Campaign,Stella Artois,The Sip of Sanctuary The Protector of the Chalice Happiness Within Chaos,AB InBev,Grey London,London
Bronze,FCB London,London,UNITED KINGDOM,Production Post-Production,Editing,Andrex - Get Comfortable,First School Poo,Kimberly-Clark,FCB London,London
Bronze,Riff Raff Films,London,UNITED KINGDOM,Production Post-Production,Production Design,Retail,The Gifting Hour,John Lewis,Saatchi Saatchi,London
Bronze,Time Based Arts,London,UNITED KINGDOM,Production Post-Production,Visual Effects,Revolut,Money Possibilities,Revolut,Anomaly UK,London
Bronze,Energy BBDO,Chicago,UNITED STATES,Ambient Activation,Gaming,Change The Ref,The Final Exam,Change The Ref,Energy BBDO,Chicago
Bronze,Energy BBDO,Chicago,UNITED STATES,Ambient Activation,Sustainability SDG,Change The Ref,The Final Exam,Change The Ref,Energy BBDO,Chicago
Bronze,Ogilvy,New York,UNITED STATES,Ambient Activation,Corporate Purpose-Social Responsibility,Powerade,The Athletes Code,The Coca-Cola Company,Ogilvy,New York
Bronze,VML,Detroit,UNITED STATES,Ambient Activation,Corporate Purpose-Social Responsibility,Ford,SupportBelt,Ford,VML,Detroit
Bronze,Area 23 an IPG Health Company,New York,UNITED STATES,Audio Radio,Craft Music Adaptation - Song,MollieaTMs Fund MollieaTMs Melanoma Awareness,You Are My Sunshine - Radio,MollieaTMs Fund,Area 23 an IPG Health Company,New York
Bronze,Area 23 an IPG Health Company,New York,UNITED STATES,Audio Radio,Health Pharma,Eurofarma-Unicorns Unicorns-Cherab Foundation,Autism Rocks,Eurofarma-Cherab Foundation,Area 23 an IPG Health Company,New York
Bronze,DAVID New York,New York,UNITED STATES,Audio Radio,Branded Entertainment,Clash of Clans,Hammerless,Supercell,DAVID New York,New York
Bronze,Area 23 an IPG Health Company,New York,UNITED STATES,Billboard,Creative Use of Data Campaign,Equality Health Foundation - Zip Code Exam,Outdoor Houston Outdoor New York Outdoor Phoenix,Equality Health Foundation,Area 23 an IPG Health Company,New York
Bronze,DAVID,Miami,UNITED STATES,Billboard,Craft Photography Campaign,Corona - Corona Eclipse,Uruguay Brazil Argentina,AB INBEV,DAVID,Miami
Bronze,FCB Chicago,Chicago,UNITED STATES,Billboard,Health Pharma,Goodys Pain Powder,Smile 20,Prestige Consumer Healthcare,FCB Chicago,Chicago
Bronze,FCB Chicago,Chicago,UNITED STATES,Billboard,Innovative Use of Billboard,Goodys Pain Powder,Smile 20,Prestige Consumer Healthcare,FCB Chicago,Chicago
Bronze,adameveDDB US,,UNITED STATES,Branded Content,Scripted Short Film,Disney,The Boy The Octopus,Disney,adameveDDB London-adameveDDB New York-adameveDDB,Los Angeles
Bronze,Energy BBDO,Chicago,UNITED STATES,Branded Entertainment,Zeitgeist,Change The Ref,The Final Exam,Change The Ref,Energy BBDO,Chicago
Bronze,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,Branded Entertainment,Scripted Short Film,Apple,Submerged,Apple,TBWA-Media Arts Lab,Los Angeles
Bronze,BBDO New York,New York,UNITED STATES,Creative Strategy,Long-term Creative Strategy-Effectiveness,Sandy Hook Promise,Know The Signs,Sandy Hook Promise,BBDO New York,New York
Bronze,Area 23 an IPG Health Company,New York,UNITED STATES,Creative Use of Data,Data Visualization,Equality Health Foundation,Zip Code Exam,Equality Health Foundation,Area 23 an IPG Health Company,New York
Bronze,FCB Chicago,Chicago,UNITED STATES,Creativity In Media,Health Pharma,Goodys Pain Powder,Smile 20,Prestige Consumer Healthcare,FCB Chicago,Chicago
Bronze,Initiative UK,London,UNITED STATES,Creativity In Media,Health Pharma,Bupa Health Insurance,Health Is,Bupa,Momentum Worldwide,London
Bronze,VML,New York,UNITED STATES,Creativity In Media,Consumer Packaged Goods-FMCG,Kleenex,Kleenex Score,Kimberly-Clark,VML,New York
Bronze,VML,New York,UNITED STATES,Creativity In Media,Multi-Channel Media,Foundation to Combat Antisemitism FCAS,Timeout Against Hate,Foundation to Combat Antisemitism,VML,New York
Bronze,FCB Chicago,Chicago,UNITED STATES,Design,Zeitgeist,Caption with Intention,,Rakish Entertainment,FCB Chicago,Chicago
Bronze,FCB New York,New York,UNITED STATES,Design,Creative Use of Data,Hyundai Motor Company,Tree Correspondents,Hyundai Motor Company,FCB New York,New York
Bronze,MullenLowe US,New York,UNITED STATES,Design,Poster Campaign,Art Directors Club - Be Seen by the Best Eyes,,The One Club for Creativity,MullenLowe US,New York
Bronze,Ogilvy,Chicago,UNITED STATES,Design,Craft Typography,Chicago International Film Festival,60 Years of Film,Chicago International Film Festival,Ogilvy,Chicago
Bronze,Ogilvy New York,New York,UNITED STATES,Design,Craft Photography Campaign,Dove - Get Unready,Carnaval Holi New Years Post Game St Patricks,Unilever,Ogilvy,New York
Bronze,VML,Detroit,UNITED STATES,Design,Product Design,Ford,SupportBelt,Ford,VML,Detroit
Bronze,VML,New York,UNITED STATES,Evolution,Creativity in Commerce,Ziploc,Preserved Promos,SC Johnson,VML New York-Obviously,New York
Bronze,Biscuit Filmworks,London,UNITED STATES,Music Sound,Sound Design,Channel 4,Paris Paralympics 2024 Considering What,Channel 4,4creative,London
Bronze,The Elements Music,Los Angeles,UNITED STATES,Music Sound,Music Adaptation - Song,General Motors,Crafting the One,General Motors,Droga5 part of Accenture,New York
Bronze,Amazon XCM,Santa Monica,UNITED STATES,Online Film,Branded Content Campaign,Amazon - 5-Star Theater with Adam Driver,Banana Slicer Massage Gun Rubber Duck Dutch Oven Stuffed Seal Pasta Maker,Amazon,,
Bronze,Amazon XCM,Santa Monica,UNITED STATES,Online Film,Creativity in Commerce Campaign,Amazon - 5-Star Theater with Adam Driver,Banana Slicer Massage Gun Rubber Duck Dutch Oven Stuffed Seal Pasta Maker,Amazon,,
Bronze,Arnold Worldwide,Boston,UNITED STATES,Online Film,B2B,Toast,One of Those Nights,Toast,Arnold,Boston
Bronze,Disney,Los Angeles,UNITED STATES,Online Film,Branded Entertainment,Disney,The Boy The Octopus,Disney,adameveDDB London-adameveDDB New York-adameveDDB,Los Angeles
Bronze,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,Online Film,Technology Tech Equipment,Apple,Someday,Apple,TBWA-Media Arts Lab,Los Angeles
Bronze,adameveDDB New York,New York,UNITED STATES,Package Design,Health Pharma,Gift of Life Marrow Registry,Hero Gum,Gift of Life Marrow Registry,adameveDDBNew York,New York
Bronze,BBDO New York,New York,UNITED STATES,Package Design,Sustainable Packaging SDG,BACARDAs Sugarcane Vinyl,Sugarcane Vinyl,BACARDAs,BBDO New York,New York
Bronze,DAVID,Miami,UNITED STATES,Poster,Craft Photography Campaign,Corona - Corona Eclipse,Uruguay Brazil Argentina,AB INBEV,DAVID,Miami
Bronze,DAVID,Miami,UNITED STATES,Print,Beverages Campaign,Corona - Corona Eclipse,Uruguay Brazil Argentina,AB INBEV,DAVID,Miami
Bronze,Ogilvy New York,New York,UNITED STATES,Print,Beverages Campaign,Stella Artois - Hiders Keepers,Birthday Party Dinner Game Day,AB inBev,Ogilvy,New York
Bronze,Biscuit Filmworks,Los Angeles,UNITED STATES,Production Post-Production,Direction,Squarespace,A Tale As Old As Websites,Squarespace,,
Bronze,Disney,Los Angeles,UNITED STATES,Production Post-Production,Direction,Disney,The Boy The Octopus,Disney,adameveDDB London-adameveDDB New York-adameveDDB,Los Angeles
Bronze,The Martin Agency,Richmond,UNITED STATES,Production Post-Production,Stop-Frame Animation Campaign,Cinnamon Toast Crunch Cereal - Must Cinnadust Campaign,Fridge Alley Last Piece Plastic Sheet Spoon Swim BTS,General Mills,The Martin Agency,Richmond
Bronze,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,TV Cinema,Technology Tech Equipment,Apple,Someday,Apple,TBWA-Media Arts Lab,Los Angeles
Bronze,VML,Montevideo,URUGUAY,Creativity In Media,Retail E-Commerce,TaTa,The Rewards Bag,GDN,VML,Montevideo
Finalist,GUT,Buenos Aires,ARGENTINA,Creative Strategy,Use of Media,Mercado Libre,Boxed Ads,Mercado Libre,GUT,Buenos Aires
Finalist,Monks,Buenos Aires,ARGENTINA,Creative Use of Data,Data-Led Creativity,Netflix,Sennas Cut,Netflix Latam,Monks,Buenos Aires
Finalist,Ogilvy Argentina,Buenos Aires,ARGENTINA,Creativity In Media,Use of Audio Platforms,Calm Is Simple,The Sound of Divorce,Calm es Simple,Ogilvy Argentina,Buenos Aires
Finalist,Thinkerbell,Melbourne,AUSTRALIA,Audio Radio,Craft Sound Design,Transport Accident Commission TAC,AustraliaaTMs Deadliest Predator,Transport Accident Commission TAC,Thinkerbell Melbourne-Thinkerbell,Sydney
Finalist,Leo Australia,Sydney,AUSTRALIA,Creative Strategy,Creative Use of Data,Suncorp Insurance,Suncorp Haven,Suncorp Insurance,Leo Australia,Sydney
Finalist,Ogilvy Australia,Australia,AUSTRALIA,Creative Strategy,Contextual Insight,TCCC,Meet me at the Coke Sign,TCCC,Ogilvy,Australia
Finalist,VML,Sydney,AUSTRALIA,Creativity In Media,Use of Retail Media,Legacy Club Services,Legacy Lager,Legacy Club Services,VML,Sydney
Finalist,Altvfx,Brisbane,AUSTRALIA,Production Post-Production,Visual Effects Campaign,Telstra,Four Legged Friend Mirror Mirror Magnetic Boy,Telstra,Bear Meets Eagle on Fire,
Finalist,Bear Meets Eagle On Fire,Sydney,AUSTRALIA,Production Post-Production,CGI Animation,Telstra,wherever we go - Duet,Telstra,Bear Meets Eagle On Fire,Sydney
Finalist,Bear Meets Eagle On Fire,Sydney,AUSTRALIA,Production Post-Production,Direction Campaign,Telstra,Scamageddon Deceiver Lever Scamalanche Villains BTS,Alita McMenamin,Bear Meets Eagle On Fire,Sydney
Finalist,Bear Meets Eagle On Fire,Sydney,AUSTRALIA,Production Post-Production,Production Design Campaign,Telstra,Scamageddon Deceiver Lever Scamalanche Villains BTS,Alita McMenamin,Bear Meets Eagle On Fire,Sydney
Finalist,Revolver,Sydney,AUSTRALIA,Production Post-Production,Production Design,Telstra,Donkey,Telstra Group Limited,Bear Meets Eagle on Fire,Sydney
Finalist,Bear Meets Eagle On Fire,Sydney,AUSTRALIA,TV Cinema,Utilities Campaign,Telstra,Silent Films Four Legged Friend Mirror Mirror,Telstra,Bear Meets Eagle On Fire,Sydney
Finalist,Ampfy,Sao Paulo,BRAZIL,Creative Use of Data,Data Visualization,Piracanjuba,The Missing Portraits,Piracanjuba,Ampfy,Sao Paulo
Finalist,BETC HAVAS,Sao Paulo,BRAZIL,Creativity In Media,Use of Outdoor,Eletromidia,The Restless Posters,Eletromidia,BETC HAVAS,Sao Paulo
Finalist,Grey Brasil,Sao Paulo,BRAZIL,Design,Sustainable Design SDG,Zespri,The 100 Home Compostable Sticker,Zespri International Limited,Grey Brasil,Sao Paulo
Finalist,VML,Sao Paulo,BRAZIL,Print,Craft Visual Design,BIC Cristal,The Shakespeare Bic,Grupo Bic,VML,Sao Paulo
Finalist,BETC HAVAS,Sao Paulo,BRAZIL,TV Cinema,Corporate Purpose-Social Responsibility,Reckitt - Vanish,Invisible Stain,Reckitt - Vanish,BETC HAVAS,Sao Paulo
Finalist,Ogilvy Canada,Toronto,CANADA,Billboard,Banking Finance,TD Wealth,Fractional Window Shopping,TD,Ogilvy Canada,Toronto
Finalist,Klick Health,Toronto,CANADA,Branded Content,Creative Use of Data,All In Action Fund,The Trial,All In Action Fund,Klick Health,Toronto
Finalist,FCB,Toronto,CANADA,Creative Strategy,Health Care and Pharmaceuticals,SickKids Foundation,Fight for Every Birthday,SickKids Foundation,FCB,Toronto
Finalist,Publicis,Toronto,CANADA,Creativity In Media,Restaurant Fast Food Food Service,Dairy Queen,Big Red Spoons,Dairy Queen,Publicis,Toronto
Finalist,Publicis,Toronto,CANADA,Creativity In Media,Use of Events and Stunts,Dairy Queen,Big Red Spoons,Dairy Queen,Publicis,Toronto
Finalist,Vapor Music Group,Toronto,CANADA,Music Sound,Music Adaptation - Instrumental,KFC Canada,Sorry Manners,KFC Canada,Courage,Toronto
Finalist,FCB Canada,Toronto,CANADA,Production Post-Production,Editing,SickKids Foundation,The Count,SickKids Foundation,FCB,Toronto
Finalist,TBWA-Group China,Shanghai,CHINA,Branded Content,Audio,Yangzhou Municipal Bureau of Culture Radio TV and Tourism,The Yangzhou Qiao Bei Musical Suite,Yangzhou Municipal Bureau of Culture Radio TV and Tourism,TBWA-Group China,Shanghai
Finalist,Leo China,Shanghai,CHINA,Creativity In Media,Use of Retail Media,McDonalds,Found in the Shadows,M China Co Ltd,Leo China,Shanghai
Finalist,Ogilvy Shanghai,Shanghai,CHINA,Poster,Craft Photography Campaign,Viatris - Make Love Last,The Bedroom The Hotel Room The Living Room,Viatris,Ogilvy Shanghai,Shanghai
Finalist,LePub Bogota,Bogota,COLOMBIA,Audio Radio,Use of Social Media,Mondelez Oreo,Oreo Voice Notes,Pablo Tibaldi,LePub,Bogota
Finalist,DAVID,Bogota,COLOMBIA,Creativity In Media,Use of Ambient Media,Aguila,Brand of the Match,AB INBEV,DAVID,Bogota
Finalist,DAVID,Bogota,COLOMBIA,Creativity In Media,Use of Retail Media,Aguila,Unmelting Loyalty,AB InBev,DAVID,Bogota
Finalist,VML,Prague,CZECH REPUBLIC,Billboard,Foods Campaign,KitKat,CrowdStreetPublic Transport,Nestle,VML,Prague
Finalist,VML,Prague,CZECH REPUBLIC,Billboard,Zeitgeist Campaign,KitKat,CrowdStreetPublic Transport,Nestle,VML,Prague
Finalist,Marcel,Paris,FRANCE,Ambient Activation,Creativity in Commerce,Lidl,Lidlize,Lidl,Marcel Paris-Publicis Groupe,Paris
Finalist,Saatchi Saatchi France,Paris,FRANCE,Ambient Activation,Corporate Purpose-Social Responsibility,Omni,Omnilivery,Omni,Saatchi Saatchi France,Paris
Finalist,Ogilvy Paris,Paris,FRANCE,Billboard,Beverages Campaign,Maison Perrier Chic,Taxi Driver Pilots Fireman Surgeon,Maison Perrier,Ogilvy Paris,Levallois Perret
Finalist,BETC,Paris,FRANCE,Creative Strategy,Consumer Insight,Laboratoire Gallia,Mommyphone,Danone,BETC,Paris
Finalist,Publicis Conseil,Paris,FRANCE,Creative Strategy,Automotive,Renault,Long-term,Renault,Publicis Conseil,Paris
Finalist,Buzzman,Paris,FRANCE,Creativity In Media,Use of Outdoor,Musee de lArmee,See Them for Real,Musee de lArmee,Buzzman,Paris
Finalist,Havas Play,Puteaux,FRANCE,Creativity In Media,Use of Digital Social and Gaming Platforms,Renault,Modder5,Renault,Havas Play,Puteaux
Finalist,Publicis Conseil,Paris,FRANCE,Production Post-Production,Production Design,Cancer Careers,Strings,Cancer Careers,Publicis Conseil,Paris
Finalist,Publicis Conseil,Paris,FRANCE,Production Post-Production,Direction,Renault,Argentina,Renault,Publicis Conseil,Paris
Finalist,SERVICEPLAN GERMANY,Munich,GERMANY,Audio Radio,Craft Performance-Casting,Techem,Ding Dong - Thong,Techem Energy Services,SERVICEPLAN GERMANY,Munich
Finalist,SERVICEPLAN GERMANY,Munich,GERMANY,Creative Strategy,Finance,Herconomy,Breastmilk Money,Herconomy,SERVICEPLAN GERMANY,Munich
Finalist,SERVICEPLAN GERMANY,Munich,GERMANY,Creative Use of Data,Data-Led Creativity,Herconomy,Breastmilk Money,Herconomy,SERVICEPLAN GERMANY,Munich
Finalist,SERVICEPLAN GERMANY,Munich,GERMANY,Creativity In Media,Retail E-Commerce,PENNY,Price Packs,PENNY,SERVICEPLAN GERMANY,Munich
Finalist,INNOCEAN,Berlin,GERMANY,Evolution,Creative Technology,Billy Boy,Camdom The first digital condom,BILLY BOY,INNOCEAN,Berlin
Finalist,INGO Hamburg,Hamburg,GERMANY,Print,Technology Tech Equipment Campaign,Canon - The Full Picture,Ice Cream First Day of School Swimming Pool,Canon Emirates LLC Dubai,INGO Hamburg Hamburg-Memac Ogilvy Dubai,Dubai
Finalist,Ogilvy Group Germany,Frankfurt,GERMANY,Print,Craft Art Direction Campaign,German Rail - Connecting Europe,Netherlands Austria Denmark Spain,German Rail,Ogilvy Group Germany,Frankfurt
Finalist,HeimatTBWA- Germany,Berlin,GERMANY,Production Post-Production,Production Design,HORNBACH Baumarkt,Feel Like A Kid Again,HORNBACH Baumarkt AG,HeimatTBWA- Germany,Berlin
Finalist,Saatchi Saatchi Germany,DA14sseldorf,GERMANY,Production Post-Production,Production Design,Deutsche Telekom,Bubbles,Deutsche Telekom,Saatchi Saatchi Germany-MUW Saatchi Saatchi Bratislava,
Finalist,Juice An Omnicom Group Company and a conflict brand within TBWA,New Delhi,INDIA,Design,Best Regional-National Market,Air India Express Dictionary,The Inglish Dictionary,Air India Express,Juice An Omnicom Group Company and a conflict brand within TBWA,New Delhi
Finalist,Ogilvy,Bengaluru,INDIA,Design,Direct Marketing - Consumer Campaign,Titan Eye - Eye Test Menu,Hindi Set 1 Hindi Set 2 Gurmukhi Kannada Tamil English,Titan Company Limited,Ogilvy Bengaluru-Ogilvy,Mumbai
Finalist,LePub,Milan,ITALY,Ambient Activation,Direct Marketing - Consumer,Heineken,Pub Succession,Heineken,LePub Milan-Publicis Dublin,Dublin
Finalist,Hakuhodo,Tokyo,JAPAN,Creativity In Media,Use of Outdoor,Tokucha,The Sync Ad,Suntory Holdings,Hakuhodo Tokyo-TBWA Hakuhodo Tokyo-Hakuhodo Kettle Tokyo-Signing,Tokyo
Finalist,SIX inc,Tokyo,JAPAN,Design,Craft Motion Graphics - Animation,Toyota Gazoo Racing,Go GR Supra Safety Car,TOYOTA MOTOR CORPORATION,SIX inc,Tokyo
Finalist,TBWA-Hakuhodo Inc,Tokyo,JAPAN,Design,Data Visualization,Japan Philharmonic Orchestra,The Symphony Plotter,Japan Philharmonic Orchestra,TBWA-Hakuhodo Inc,Tokyo
Finalist,Cheil Worldwide,Seoul,KOREA,Creativity In Media,Non-Profit,WWF Korea,ANISTAY,WWF Korea,Cheil Worldwide,Seoul
Finalist,Cheil Worldwide,Seoul,KOREA,Package Design,Retailer Packaging,GS25,Lifeguard Snack,GS25 Retail,Cheil Worldwide,Seoul
Finalist,INNOCEAN,Seoul,KOREA,TV Cinema,Branded Entertainment,IONIQ,Night Fishing,Hyundai Motor Company,INNOCEAN,Seoul
Finalist,Ogilvy,Mexico City,MEXICO,Ambient Activation,Travel Tourism,Aeromexico,Aeromexicanos,Aeromexico,OGILVY,Mexico
Finalist,Ogilvy,Mexico City,MEXICO,Billboard,Travel Tourism Campaign,Aeromexico,Aeromexicanos Camoaign,Aeromexico,OGILVY,Mexico
Finalist,Ogilvy,Mexico City,MEXICO,Branded Content,Experiential and Events,Aeromeixco,Aeromexicanos,Aeromexico,OGILVY,Mexico
Finalist,Colenso BBDO,Auckland,NEW ZEALAND,Audio Radio,Craft Script Writing,Delivereasy,Crippled Pigeons,Delivereasy,Colenso BBDO,Auckland
Finalist,Colenso BBDO,Auckland,NEW ZEALAND,Audio Radio,Humor Campaign,Delivereasy,Killer Bees Crippled Pigeons Street Condoms,Delivereasy,Colenso BBDO,Auckland
Finalist,Try,Oslo,NORWAY,TV Cinema,Retail Campaign,IKEA,Hope Mornings Picky Awake,IKEA,Try,Oslo
Finalist,Leo Manila,Makati,PHILIPPINES,Creative Strategy,Cultural Insight,McDonalds,Night Classroom,McDonalds Philippines,Leo Manila,Makati
Finalist,VML,Riyadh,SAUDI ARABIA,Ambient Activation,Creative Use of Data,Hungerstation,The Shaded Route,Hungerstation,VML,Riyadh
Finalist,BigTime Creative Shop,Riyadh,SAUDI ARABIA,Production Post-Production,Direction,General Entertainment Authority,Obsession,General Entertainment Authority,BigTime Creative Shop,Riyadh
Finalist,LePub APAC,Singapore,SINGAPORE,Ambient Activation,Creativity in Commerce,Heineken,Trust Bars,Nalini Bhagwandin,LePub Singapore-LePub,Milan
Finalist,VML Singapore,Singapore,SINGAPORE,Creative Strategy,Cultural Insight,LUX,LUX Reclaim Her Name,Unilever,VML,Singapore
Finalist,POVEM Communication and Business Consulting,Ljubljana,SLOVENIA,Creative Strategy,Finance,Mastercard,Sign of inclusion,Mastercard Europe SA Slovenian Branch,POVEM Communication and Business Consulting,Ljubljana
Finalist,David,Madrid,SPAIN,Billboard,Beverages Campaign,Coca-Cola,Prado Awning Mimi Awning El Campo Awning,The Coca-Cola Company,DAVID,Madrid
Finalist,MRM Spain,Madrid,SPAIN,Branded Entertainment,Documentary Short Film,Opella-Enterogermina,The Anti MurphyA s Law Toast,Opella-Enterogermina,MRM Spain,Madrid
Finalist,DAVID,Madrid,SPAIN,Creative Strategy,Cultural Insight,Coca-Cola,Shades of Red,The Coca Cola Company,DAVID,Madrid
Finalist,DAVID,Madrid,SPAIN,Creativity In Media,Use of TV and Other Screens,Netflix,Alcaraz Tattoo Reveal,Netflix Spain,DAVID,Madrid
Finalist,Ogilvy,Colombo,SRI LANKA,Creative Strategy,Original Thinking,Promate,Second Life Notebooks,PrintXcel Pvt Ltd,Ogilvy,Colombo
Finalist,Prime Weber Shandwick,Stockholm,SWEDEN,Creative Strategy,Branded Content,Komatsu Demining Cambodia,Stories of Gentle Giants,Komatsu,,
Finalist,Valtech RADON,Stockholm,SWEDEN,Creative Strategy,Use of Social Media,RFSU,Just Give a Fck,RFSU AB,Valtech RADON,Stockholm
Finalist,Wolf BKK,Bangkok,THAILAND,Online Film,Humor,CP-Meiji,Sliding Mom,CP-Meiji Co Ltd,Wolf BKK,Bangkok
Finalist,Ogilvy Bangkok,Bangkok,THAILAND,Production Post-Production,Direction,Thai Life Insurance,Unfading Love,Thai Life Insurance Public Company Limited,Ogilvy Bangkok,Bangkok
Finalist,LePub,Amsterdam,THE NETHERLANDS,Creative Strategy,Original Thinking,Philips,Fixables,Philips,LePub Amsterdam-LePub,Milan
Finalist,Saatchi Saatchi ME,Dubai,UNITED ARAB EMIRATES,Ambient Activation,Beauty Well-being,NIVEA,Sun Courts,NIVEA,Saatchi Saatchi ME,Dubai
Finalist,Publicis Middle East,Dubai,UNITED ARAB EMIRATES,Creative Strategy,Use of Media,Home Centre,There We Are,Landmark Group,Publicis Middle East,Dubai
Finalist,Edelman,London,UNITED KINGDOM,Ambient Activation,Foods,Hellmanns Mayonnaise,Mayo Exchange,Unilever,Edelman,London
Finalist,Ogilvy UK,London,UNITED KINGDOM,Ambient Activation,Creativity on a Budget,Hellmanns,Club Classic,Unilever,Ogilvy UK,London
Finalist,MullenLowe,London,UNITED KINGDOM,Billboard,Home Products Campaign,Persil Dirt Is Good,FootballKick BoxingRunning,Unilever,MullenLowe,London
Finalist,Ogilvy UK,London,UNITED KINGDOM,Creativity In Media,Use of Ambient Media,Hellmanns,Club Classic,Unilever,Ogilvy UK,London
Finalist,750mph,London,UNITED KINGDOM,Music Sound,Sound Editing,Visit Britain,Starring GREAT Britain - The Movie,Visit Britain,Pablo,London
Finalist,750mph,London,UNITED KINGDOM,Music Sound,Sound Mixing,Riyadh Season,Everything or Nothing,Riyadh Season,Bigtime Creative Shop,Riyadh Saudi Arabia
