Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,ORANGE RAMADAN 2020 SONNET EL HAYAH,ORANGE EGYPT FOR TELECOMMUNICATIONS,LEO BURNETT CAIRO,Media & Entertainment,Submitted,https://cdn.filespin.io/api/v1/storyboard/c3a979cc2f8f4522b3e106022d536835/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,FINGERSCANTWAIT,ZAIN TELECOM,LEO BURNETT,Consumer Services & Business to Business,Submitted,https://cdn.filespin.io/api/v1/storyboard/96856bfa8ccf47fa9f398f8e951a7a16/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,WEAREUNSTOPPABLE,ARAMCO,LEO BURNETT,Consumer Services & Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/db4cbab60ed94e6eb2c00c2af2bd00b8?resize=178,178
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,THE FILM WE NEVER SHOT,ZAIN TELECOM,LEO BURNETT,Consumer Services & Business to Business,Submitted,https://cdn.filespin.io/api/v1/storyboard/b74fe97f01ab4661b0b3c134b608e884/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,EXPECT THE EXPECTED,EMARAT (EMIRATES GENERAL PETROLEUM CORPORATION),HOUSE OF COMMS,Consumer Services & Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/cda4474f3e044944931a32ebdf9e61c3?resize=178,178
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,MOVIES,SAUDI TELECOM COMPANY,WUNDERMAN THOMPSON,Consumer Services & Business to Business,Submitted,https://cdn.filespin.io/api/v1/storyboard/ab1d01f375a045beabc5b33e275681e7/storyboard_000008.jpg
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,GAMING,SAUDI TELECOM COMPANY,WUNDERMAN THOMPSON,Consumer Services & Business to Business,Submitted,https://cdn.filespin.io/api/v1/storyboard/edc7cc055bfd49568fe65dd0f1af1e55/storyboard_000008.jpg
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,SERIES,SAUDI TELECOM COMPANY,WUNDERMAN THOMPSON,Consumer Services & Business to Business,Submitted,https://cdn.filespin.io/api/v1/storyboard/e52b28e50ac345b791a24e4bc1c1ca12/storyboard_000008.jpg
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,GUARDIAN OF FEATHERS - THE UNTOLD TALE OF A FORGOTTEN JOURNEY,ABULRISH CHILDRENS HOSPITAL,KAIRO,Not-for-profit & Charity & Government,Submitted,https://cdn.filespin.io/api/v1/storyboard/a8c3b097a0f6456797fb2da66531170f/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,HOPEISBORN,PROCTER & GAMBLE / PAMPERS,LEO BURNETT,Fast Moving Consumer Goods,Submitted,https://cdn.filespin.io/api/v1/storyboard/571570b7d5d847b5bc9b4f80ea66ba7d/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,WHOS NADER SABRI?,VALLEY WATER,STORYTELLERS,Fast Moving Consumer Goods,Submitted,https://cdn.filespin.io/api/v1/storyboard/452c4e33fbfe40d384306a5ad8b1ba58/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,PEPSI MUSIC DISCOVER NOW,PEPSI,FACE TO FACE UAE,Fast Moving Consumer Goods,Submitted,https://cdn.filespin.io/api/v1/storyboard/837576de8609447c8a0c499f05c0fa84/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,PIGEON,AL FUTTAIM IKEA,MEMAC OGILVY,Fast Moving Consumer Goods,Submitted,https://cdn.filespin.io/api/v1/storyboard/521ebf9466704fe7a0bd99caf60327ba/storyboard_000008.jpg
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,IF SPINY-TAILED LIZARDS SPOKE WHAT WOULD THEY SAY?,GULF HEALTH COUNCIL - SALAMATAK BRAND,TELFAZ11,Healthcare,Submitted,https://cdn.filespin.io/api/v1/storyboard/955a8e512df2450c8673687b131cafce/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,VALET,DICE UNDERWEAR,TAREK NOUR ADVERTISING,Durable Consumer Goods including Automotive,Submitted,https://cdn.filespin.io/api/v1/storyboard/8635a45f01314bfe9b17c62ce58fd74d/storyboard_000008.jpg
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,PLANE,DICE UNDERWEAR,TAREK NOUR ADVERTISING,Durable Consumer Goods including Automotive,Submitted,https://cdn.filespin.io/api/v1/storyboard/688319e5e945480bb25d6a1e46195353/storyboard_000008.jpg
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,MG5 EASY TO BUY HARD TO BELIEVE WHAT IT HAS,MG MOTOR,DDB EGYPT,Durable Consumer Goods including Automotive,Submitted,https://cdn.filespin.io/api/v1/storyboard/476e8c12d3234af39c2e30a1440ed5a9/storyboard_000008.jpg?resize=600,600
