Track,Title,Brand,Agency,Category,Award Level,Board image
SCREENS & EVENTS,DRINK RESPONSIBLY THIS SUMMER,KOPPARBERG,NEVERLAND,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/326192cd60ae4a7da6affde9bd855b69/storyboard_000008.jpg
SCREENS & EVENTS,MOMENTS,VOLVO,STENDAHLS,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/736b91ab66c14460b5f1b81b26aa925a/storyboard_000008.jpg
SCREENS & EVENTS,PLEASURE MAKES US HUMAN,LAVAZZA,LAVAZZA,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/f2ec6bb694a24a13b65c437c1a8f89f9/storyboard_000008.jpg
SCREENS & EVENTS,EV LIONS,PEUGEOT,ACCENTURE SONG,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/9add58d1f54e45d689346dd796dc60a3/storyboard_000008.jpg
SCREENS & EVENTS,THE AUTOGRAPH,PERSIL,LOLA MULLENLOWE,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/0d89d4cf531349a69ae36c995628f4c7/storyboard_000008.jpg
SCREENS & EVENTS,HENNESSY & MASSAGE,HENNESSY,WIEDEN+KENNEDY,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/bcae6665b3eb46b69e1152e18ea23c7c/storyboard_000008.jpg
SCREENS & EVENTS,HENNESSY & BOARD GAME,HENNESSY,WIEDEN+KENNEDY,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/ff554179c3b343aeb40042ec69b86d28/storyboard_000002.jpg
SCREENS & EVENTS,HENNESSY & GALLERY,HENNESSY,WIEDEN+KENNEDY,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/10a0fc9ccd584c0a9333be6fc26e4ce8/storyboard_000008.jpg
SCREENS & EVENTS,DIVINELY GOOD,AMICA CHIPS,LORENZO MARINI,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/4082d51fd22e4e51b03a968066fe6e05/storyboard_000008.jpg
SCREENS & EVENTS,TRUE HARDCORE FANS,HEINEKEN,LEPUB,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/b88c58e03ab242b08d5fc3942f13fd57/storyboard_000008.jpg
SCREENS & EVENTS,MOUNTAIN OF YOUTH,EVIAN,BETC,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/0af8b8c26ad4466abbcc6e001e00ef10/storyboard_000008.jpg
SCREENS & EVENTS,DUEL,LA VIE,BUZZMAN,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/112a750cdfdc4277a455d9cc4f0a434a/storyboard_000008.jpg
SCREENS & EVENTS,RENAULT - PUSH IT TO THE LIMIT,RENAULT,PUBLICIS CONSEIL,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/a1d03b9d8ce84112aafa07c8b9243f7e/storyboard_000008.jpg
SCREENS & EVENTS,RENAULT - THE CLIMB,RENAULT,PUBLICIS CONSEIL,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/827764b0cec042f5adddbe38c4c456fe/storyboard_000008.jpg
SCREENS & EVENTS,RENAULT - ON THE ROAD,RENAULT,PUBLICIS CONSEIL,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/376f094a422b40e293b4b843efd27ae9/storyboard_000008.jpg
SCREENS & EVENTS,ZIPPER,IKEA,AKESTAM HOLST,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/e4e47cc6a7924ac399d182bf166854c1/storyboard_000008.jpg
SCREENS & EVENTS,GROCERIES,IKEA,AKESTAM HOLST,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/48073f184f65492595b2d027be0dce0f/storyboard_000008.jpg
SCREENS & EVENTS,TAPE,IKEA,AKESTAM HOLST,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/c0d54739656d43738c05d9b3e228427f/storyboard_000008.jpg
SCREENS & EVENTS,THE STORY OF HENRY ROBERTS,NEUTRO ROBERTS,OGILVY,Healthcare,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/15bf0f2f741e4402bdfd039bd876a167/storyboard_000008.jpg
SCREENS & EVENTS,PFIZER - HERE S TO SCIENCE,PFIZER,PUBLICIS CONSEIL,Healthcare,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/e02bfcdeb15a46df8dbacfabc67a7769/storyboard_000008.jpg
