Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image,Permalink
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,THE DESERT,MANDOLIN,WUNDERMAN THOMPSON,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/bade78a57d1e400f931a557dc9ab74be/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/the-desert-mandolin-wunderman-thompson-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,DELIVER US FROM EVIL,SHELL,WUNDERMAN THOMPSON,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/ecd5e165280f4c82b76ba4c86cf35eaf/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/deliver-us-from-evil-shell-wunderman-thompson-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,MOBIL A MILLION WAYS TO ENJOY A WIN,EXXON,DDB EGYPT,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/808edb0b04574795bc3941df37562bda/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/mobil-a-million-ways-to-enjoy-a-win-exxon-ddb-egypt-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,THE BIRTH OF SPEECH,CERALAC,PUBLICIS MIDDLE EAST,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/358798f4e1e74023b5a4c2c9c43f41ac/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/the-birth-of-speech-ceralac-publicis-middle-east-2023-2/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,BMW FORWARDISM COMES HOME,BMW MIDDLE EAST,SERVICEPLAN MIDDLE EAST,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/359e572d91e440fc9f30b4f220761c04/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/bmw-forwardism-comes-home-bmw-middle-east-serviceplan-middle-east-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,THE TOYOTA FAMILY,ABDUL LATIF JAMEEL MOTORS - TOYOTA,SERVICEPLAN MIDDLE EAST,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/01b88ff58ba341ed84b9bbb98f56bc0a/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/the-toyota-family-abdul-latif-jameel-motors-toyota-serviceplan-middle-east-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,HOHOS THERES A MIXER IN THE OFFICE,HOHOS,GOOD PEOPLE FILMS,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/428f438378eb45838c8a3dbc13f60eaf/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/hohos-theres-a-mixer-in-the-office-hohos-good-people-films-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,TAKING THE WHEEL,INFINITI MOTOR COMPANY,DIGITAS,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/8a87f747787b4854ad0c601fb87f0f3e/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/taking-the-wheel-infiniti-motor-company-digitas-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,GROW YOUR WORLD,HAYATNA,IMPACT BBDO,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/036583e7d9544d3e8d1d57a8566077e5/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/grow-your-world-hayatna-impact-bbdo-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,BECOMING RUBY,FRESKA,IMPACT BBDO,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/2d5704c7de224c07b44656c507b6240b/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/becoming-ruby-freska-impact-bbdo-2023/
